sex,age,avg_income,avg_spend,avg_debt,avg_debt_credit,avg_credit_rat,vehicle_own_rat
1,54,37188000,2611619,24285196,11419148,5,0
1,59,35378000,1987726,108571077,25896955,4,0
2,49,32119000,3529667,26424335,12015311,2,0
1,54,64746000,4868477,647716901,39952556,4,0.166667
1,49,29578000,5209689,248232725,35712501,5,0
2,39,35110000,4391377,24987322,24987322,2,0
1,64,52247000,2072976,688153479,13500000,4,0
1,44,62822000,35279651,190536729,81524557,3,0.181818
1,54,42894000,3876721,172484068,51619322,4,0.090909
1,44,34611000,5100897,269122672,45773200,5,0
1,49,33608000,6624304,71229614,26636095,5,0.071429
1,29,28397000,2591076,21589918,19831020,5,0
2,39,37996000,6946280,21657927,22881263,3,0
1,34,32767000,7916420,19891592,19595910,5,0
2,34,28352000,5542658,52471048,9364942,4,0
1,39,41231000,6381938,115529970,15899221,4,0.25
2,59,33375000,4909045,163101021,7317484,2,0.125
2,49,40286000,6525994,210149051,29355434,5,0
1,59,49285000,4235704,81445112,16650394,4,0.272727
1,64,47400000,4373572,219492780,5841164,3,0
2,59,29833000,7426063,66487328,20511855,4,0.153846
2,64,31975000,6647406,298238847,20736288,4,0.25
2,39,36500000,3044107,97041796,14836530,3,0.111111
1,54,122013000,40519672,532322180,46076720,4,0.363636
1,59,74173000,13051459,377390907,37619465,3,0.083333
2,44,42556000,6788577,331912301,38144959,3,0
1,29,29000000,3285378,102005940,4862115,4,0
2,64,43286000,10244666,185158707,7183675,3,0
1,69,54059000,7007616,695865052,10000000,3,0
2,54,76140000,7906507,84219182,6608922,4,0
1,24,24000000,2743960,0,0,4,0
1,64,86410000,29093704,282371318,23228775,3,0.125
1,39,42125000,6663018,57561835,15814417,3,0.222222
2,49,33171000,10576242,239188427,28975427,4,0.2
2,59,37714000,5179649,117144338,19305291,3,0.052632
1,59,38707000,3917930,35834420,12338467,4,0
2,44,40404000,9789208,117578288,8096815,3,0
1,49,40382000,14038668,115323394,39361890,5,0
2,24,21333000,2984862,0,0,4,0
2,34,24455000,4755640,64615057,31155388,5,0.25
1,64,51429000,3633694,488247278,21054547,4,0.1
1,69,32333000,3848369,33059688,13195933,3,0
1,39,43182000,6535017,48579593,24000421,4,0.076923
1,54,51545000,5584960,30067623,26361281,4,0.153846
2,39,29852000,7789150,68378549,15878549,4,0.125
2,49,40326000,7664330,190101177,37851310,3,0
1,24,23333000,2522223,7019821,7019821,4,0
1,44,36707000,10097152,309659422,34568534,4,0
1,59,49918000,3842652,414490073,39490073,5,0.125
1,29,30965000,4033311,52627618,50136789,4,0.045455
1,44,46477000,6739077,151188913,16249141,4,0.098039
1,24,23385000,1838097,6175392,9602737,4,0
1,54,49694000,7375289,62215511,22187078,4,0.044776
1,59,51786000,6534423,131970089,39802659,4,0.042553
1,49,46433000,6544504,84982359,32877608,4,0.08
2,99,16000000,477735,0,0,4,0
2,29,23918000,3853792,26593117,9306703,4,0
2,34,31580000,5022908,20936530,12938094,3,0.02439
2,44,34488000,5092120,39615689,12168157,4,0.047619
2,54,33949000,5576021,66747080,16522718,3,0.027397
1,39,40658000,4659147,76302034,23674663,4,0.090909
2,49,32475000,6329152,89847941,18064656,3,0.039474
2,64,29125000,3009522,25800078,13364200,3,0
2,59,30167000,4199026,157061079,34407797,4,0
1,64,37768000,5167358,208863682,37750375,4,0
1,74,29780000,2037827,235568705,25866667,3,0
2,69,25000000,2915600,28767605,11741670,3,0.025641
1,69,41525000,5685251,171580914,23605768,3,0
1,34,34136000,4898440,35476354,17974850,4,0.142857
2,39,35992000,6057461,55654771,19263104,4,0
2,74,29400000,1189523,93583424,3701647,3,0
2,79,26667000,2294022,22698652,9772415,4,0
1,79,35000000,1153360,100809250,1618500,3,0
2,24,22441000,2671121,44176128,9083875,4,0
2,49,33984000,5933507,87261270,20708960,4,0.088608
2,69,24000000,3634859,71648158,22598773,3,0.04
2,24,22083000,1938134,31315474,15223210,4,0.02439
1,54,45747000,5835543,91990766,25914878,4,0.04878
1,79,25648000,1505204,52414685,30874765,3,0
2,44,31455000,4650161,88982934,30987398,3,0.027027
2,79,21750000,467204,43250000,5000000,4,0
2,59,31701000,3272730,123853737,29814977,3,0.041667
1,74,29508000,2541397,70789101,20656979,3,0.083333
1,44,43870000,7225241,100596668,43289758,4,0.139535
1,59,41021000,5279393,173316352,35062739,4,0.037037
2,29,25429000,5032702,26531301,8198598,3,0.030303
2,34,30881000,5311298,51921627,13510502,3,0.073171
1,39,39034000,6936421,65854797,25614138,4,0.064935
2,39,32492000,6652006,54141869,22444606,4,0.092308
1,49,41514000,5359947,127434245,25158387,4,0.044776
2,99,21545000,56153,6281718,6281718,4,0
2,64,25170000,2669879,77560286,23713749,3,0.020408
1,69,27870000,2075253,127069247,28086179,4,0
1,29,29299000,4181331,17786244,18420893,4,0.121951
1,64,34564000,5268895,72056495,20483208,3,0.111111
1,99,23168000,351421,167020992,19437992,4,0
2,74,22000000,1911820,40641306,15024676,4,0
1,34,34388000,5254053,44157089,23093303,4,0.088889
1,24,21667000,1625569,4848540,4347810,4,0
2,54,30336000,6920199,66212800,19827558,3,0.041667
